Green River km downstream of Flaming Gorge Dam,,
River_km,Latitude,Longitude
51.6,40.8274994,-109.0076
51.7,40.827919,-109.00656
51.8,40.8282509,-109.00545
51.9,40.8285904,-109.00435
52,40.82901,-109.0033
52.1,40.8291817,-109.00215
52.2,40.8293114,-109.00097
52.3,40.8296394,-108.99988
52.4,40.8300209,-108.99881
52.5,40.8304214,-108.99774
52.6,40.8307495,-108.99664
52.7,40.8306808,-108.99546
52.8,40.8307114,-108.99428
52.9,40.8310204,-108.9932
53,40.8315582,-108.99225
53.1,40.8321609,-108.99137
53.2,40.8327217,-108.99045
53.3,40.8331909,-108.98943
53.4,40.8336601,-108.98842
53.5,40.8339996,-108.98734
53.6,40.8341713,-108.98618
53.7,40.834301,-108.98501
53.8,40.8342705,-108.98383
53.9,40.8340416,-108.9827
54,40.8336906,-108.98161
54.1,40.8332214,-108.98061
54.2,40.8327217,-108.97963
54.3,40.8322411,-108.97862
54.4,40.8317795,-108.97761
54.5,40.8313293,-108.97658
54.6,40.8308792,-108.97555
54.7,40.8304214,-108.97453
54.8,40.8298302,-108.97364
54.9,40.8292389,-108.97274
55,40.8285904,-108.97193
55.1,40.8277702,-108.97152
55.2,40.82687,-108.97141
55.3,40.8260002,-108.97114
55.4,40.8251305,-108.97081
55.5,40.8242607,-108.97053
55.6,40.8233604,-108.97052
55.7,40.8224602,-108.97046
55.8,40.8215904,-108.97016
55.9,40.8207207,-108.96986
56,40.8199501,-108.96927
56.1,40.819191,-108.96862
56.2,40.8185196,-108.96784
56.3,40.8179092,-108.96698
56.4,40.8175011,-108.96593
56.5,40.8171005,-108.96487
56.6,40.8168793,-108.96372
56.7,40.8167114,-108.96256
56.8,40.8162804,-108.96155
56.9,40.8156395,-108.96072
57,40.814991,-108.95989
57.1,40.81464,-108.95881
57.2,40.8144493,-108.95768
57.3,40.8145485,-108.9565
57.4,40.8146591,-108.95533
57.5,40.8147812,-108.95415
57.6,40.8148384,-108.95297
57.7,40.8149109,-108.95179
57.8,40.8149796,-108.95061
57.9,40.8149796,-108.94956
58,40.8140984,-108.94926
58.1,40.8133507,-108.94862
58.2,40.8125916,-108.94799
58.3,40.8117294,-108.94764
58.4,40.8108597,-108.94736
58.5,40.8099785,-108.94709
58.6,40.8091507,-108.94663
58.7,40.8083,-108.94629
58.8,40.8074112,-108.94632
58.9,40.8065491,-108.94663
59,40.8057404,-108.94715
59.1,40.8049507,-108.94773
59.2,40.8042107,-108.9484
59.3,40.8034592,-108.94907
59.4,40.8027191,-108.94974
59.5,40.8019981,-108.95044
59.6,40.8013115,-108.95117
59.7,40.8004112,-108.9512
59.8,40.79953,-108.951
59.9,40.7989082,-108.95023
60,40.7984695,-108.9492
60.1,40.7982292,-108.94806
60.2,40.7979813,-108.94692
60.3,40.7978592,-108.94575
60.4,40.797821,-108.94457
60.5,40.7977791,-108.94339
60.6,40.7978516,-108.94222
60.7,40.7980385,-108.94106
60.8,40.7982292,-108.9399
60.9,40.7986107,-108.93883
61,40.7990608,-108.93783
61.1,40.7997589,-108.93707
61.2,40.80056,-108.93653
61.3,40.8014107,-108.93617
61.4,40.802269,-108.93581
61.5,40.8031311,-108.93545
61.6,40.8039589,-108.93501
61.7,40.80476,-108.93447
61.8,40.8055305,-108.93386
61.9,40.8062897,-108.93321
62,40.8069382,-108.93241
62.1,40.80756,-108.93155
62.2,40.8081589,-108.93067
62.3,40.8084183,-108.92954
62.4,40.8084602,-108.92836
62.5,40.8082809,-108.92734
62.6,40.8079987,-108.92628
62.7,40.8081207,-108.92512
62.8,40.8083191,-108.92396
62.9,40.8084297,-108.92279
63,40.8083801,-108.92161
63.1,40.807869,-108.92064
63.2,40.8073997,-108.91965
63.3,40.8066292,-108.91903
63.4,40.805851,-108.91844
63.5,40.8049812,-108.91816
63.6,40.8040886,-108.91799
63.7,40.8031998,-108.91791
63.8,40.8022995,-108.91798
63.9,40.8013992,-108.91803
64,40.800499,-108.91794
64.1,40.7995987,-108.91785
64.2,40.7986984,-108.91777
64.3,40.7978096,-108.91764
64.4,40.7969208,-108.91775
64.5,40.796051,-108.91802
64.6,40.7951889,-108.9184
64.7,40.7943306,-108.91876
64.8,40.7936783,-108.91953
64.9,40.7928581,-108.91981
65,40.7920494,-108.91935
65.1,40.7912407,-108.91902
65.2,40.7903595,-108.91892
65.3,40.7894592,-108.91882
65.4,40.788559,-108.91879
65.5,40.7877083,-108.91849
65.6,40.78685,-108.91816
65.7,40.786171,-108.9174
65.8,40.7855682,-108.91652
65.9,40.7849808,-108.91562
66,40.7844505,-108.91466
66.1,40.7839394,-108.91369
66.2,40.7834091,-108.91272
66.3,40.7828903,-108.91176
66.4,40.7823715,-108.9108
66.5,40.7818794,-108.9098
66.6,40.7815094,-108.90872
66.7,40.7811394,-108.90764
66.8,40.7807808,-108.90656
66.9,40.7805099,-108.90544
67,40.7803993,-108.90427
67.1,40.7803917,-108.90308
67.2,40.7803802,-108.9019
67.3,40.7803307,-108.90071
67.4,40.7801895,-108.89955
67.5,40.779789,-108.8985
67.6,40.7792206,-108.89761
67.7,40.7785301,-108.89684
67.8,40.7778091,-108.89614
67.9,40.7770195,-108.89556
68,40.7761917,-108.89511
68.1,40.7753296,-108.89523
68.2,40.7745514,-108.89581
68.3,40.77388,-108.89661
68.4,40.773571,-108.89771
68.5,40.7733307,-108.89885
68.6,40.77314,-108.9
68.7,40.7728806,-108.90113
68.8,40.77248,-108.9022
68.9,40.7719994,-108.90317
69,40.7714005,-108.90404
69.1,40.7709503,-108.90507
69.2,40.7702713,-108.90562
69.3,40.7694702,-108.90506
69.4,40.7686005,-108.90477
69.5,40.7677002,-108.90478
69.6,40.7667999,-108.90479
69.7,40.7659416,-108.90446
69.8,40.76511,-108.90401
69.9,40.7643089,-108.90346
70,40.7635803,-108.90278
70.1,40.7628593,-108.90206
70.2,40.7621002,-108.90144
70.3,40.7613182,-108.90085
70.4,40.7605896,-108.90016
70.5,40.759861,-108.89946
70.6,40.7591782,-108.89869
70.7,40.7583199,-108.89858
70.8,40.7574387,-108.89886
70.9,40.7565994,-108.89878
71,40.7558403,-108.89818
71.1,40.7552795,-108.89724
71.2,40.7550888,-108.8961
71.3,40.7554283,-108.89507
71.4,40.7560501,-108.89422
71.5,40.7568703,-108.89379
71.6,40.7577591,-108.89356
71.7,40.7586517,-108.89343
71.8,40.7595406,-108.89324
71.9,40.7604103,-108.89294
72,40.7612305,-108.89249
72.1,40.7619019,-108.89174
72.2,40.7623291,-108.8907
72.3,40.7625008,-108.88955
72.4,40.7623711,-108.88838
72.5,40.7621498,-108.88724
72.6,40.7617111,-108.8862
72.7,40.761219,-108.88522
72.8,40.760601,-108.88436
72.9,40.759819,-108.88383
73,40.7589798,-108.88338
73.1,40.7581291,-108.88297
73.2,40.7572784,-108.88276
73.3,40.7564316,-108.88314
73.4,40.7556381,-108.8837
73.5,40.7548409,-108.88426
73.6,40.7540703,-108.88487
73.7,40.7533112,-108.8855
73.8,40.7525291,-108.88609
73.9,40.7516403,-108.88609
74,40.7507591,-108.88592
74.1,40.7498589,-108.88586
74.2,40.748951,-108.88581
74.3,40.7480583,-108.88577
74.4,40.7471695,-108.88556
74.5,40.7462883,-108.88531
74.6,40.7454109,-108.88506
74.7,40.7446404,-108.8845
74.8,40.7439117,-108.8838
74.9,40.7432213,-108.88304
75,40.7424393,-108.88247
75.1,40.7416191,-108.88196
75.2,40.7408104,-108.88144
75.3,40.7400017,-108.88097
75.4,40.7391014,-108.88089
75.5,40.7382011,-108.88089
75.6,40.7373009,-108.88097
75.7,40.7364693,-108.8814
75.8,40.7356491,-108.8819
75.9,40.7348785,-108.88251
76,40.7341309,-108.88316
76.1,40.7334595,-108.88394
76.2,40.7327919,-108.88474
76.3,40.7320709,-108.88546
76.4,40.7314606,-108.8863
76.5,40.7310791,-108.88735
76.6,40.7304611,-108.88821
76.7,40.7297287,-108.88889
76.8,40.7288704,-108.88899
76.9,40.7280312,-108.88855
77,40.7271385,-108.88856
77.1,40.7262497,-108.88871
77.2,40.7254105,-108.88911
77.3,40.7245598,-108.88952
77.4,40.7237091,-108.88958
77.5,40.7229118,-108.88904
77.6,40.7223701,-108.88971
77.7,40.721981,-108.89078
77.8,40.7215996,-108.89184
77.9,40.7210388,-108.89276
78,40.7202301,-108.89308
78.1,40.7193794,-108.89271
78.2,40.7185516,-108.89223
78.3,40.7179489,-108.89139
78.4,40.7173004,-108.89061
78.5,40.7164803,-108.89017
78.6,40.7155914,-108.89009
78.7,40.7147293,-108.8904
78.8,40.7141609,-108.8913
78.9,40.7137184,-108.89233
79,40.713089,-108.89314
79.1,40.7122307,-108.89341
79.2,40.7113304,-108.89346
79.3,40.7104492,-108.89364
79.4,40.7096405,-108.89415
79.5,40.70895,-108.89491
79.6,40.7082596,-108.89566
79.7,40.70755,-108.89638
79.8,40.7066498,-108.89652
79.9,40.705761,-108.89663
80,40.7048607,-108.89676
80.1,40.7039719,-108.8969
80.2,40.7030907,-108.89712
80.3,40.7022781,-108.89761
80.4,40.7015419,-108.89829
80.5,40.7008209,-108.899
80.6,40.7000313,-108.89951
80.7,40.6991501,-108.89976
80.8,40.6982994,-108.90013
80.9,40.6974602,-108.90056
81,40.6966705,-108.90111
81.1,40.6958084,-108.90144
81.2,40.6949196,-108.90153
81.3,40.6940193,-108.90149
81.4,40.693119,-108.90144
81.5,40.6922302,-108.9013
81.6,40.6913795,-108.90163
81.7,40.6907501,-108.90248
81.8,40.6899109,-108.90283
81.9,40.6890297,-108.90262
82,40.6881714,-108.90275
82.1,40.6872902,-108.90302
82.2,40.686451,-108.90342
82.3,40.6856117,-108.90383
82.4,40.6847191,-108.90399
82.5,40.6839294,-108.90355
82.6,40.6830406,-108.90339
82.7,40.6821518,-108.90326
82.8,40.6812782,-108.90299
82.9,40.6803894,-108.90289
83,40.6795006,-108.90304
83.1,40.6786613,-108.90344
83.2,40.6777916,-108.90367
83.3,40.676899,-108.90354
83.4,40.6760101,-108.90334
83.5,40.6751404,-108.90304
83.6,40.6742706,-108.90275
83.7,40.6733894,-108.9025
83.8,40.6725006,-108.90233
83.9,40.6716118,-108.90215
84,40.6707191,-108.90195
84.1,40.6698494,-108.90208
84.2,40.6690102,-108.90246
84.3,40.668129,-108.90268
84.4,40.6672516,-108.90294
84.5,40.6666603,-108.90373
84.6,40.66642,-108.90487
84.7,40.6663704,-108.90604
84.8,40.6665916,-108.90718
84.9,40.6664505,-108.90826
85,40.6657104,-108.90891
85.1,40.6650085,-108.90962
85.2,40.6645699,-108.91065
85.3,40.66399,-108.91154
85.4,40.6638298,-108.91263
85.5,40.6638718,-108.9138
85.6,40.6635513,-108.91487
85.7,40.6628799,-108.91563
85.8,40.6620407,-108.91605
85.9,40.6613007,-108.91672
86,40.6605988,-108.91747
86.1,40.6600189,-108.91836
86.2,40.6594887,-108.91932
86.3,40.6589699,-108.92027
86.4,40.6585693,-108.92133
86.5,40.65802,-108.92227
86.6,40.6573792,-108.923
86.7,40.6568718,-108.92396
86.8,40.6562004,-108.92474
86.9,40.6554298,-108.92534
87,40.6548119,-108.92615
87.1,40.654129,-108.92688
87.2,40.6532402,-108.92708
87.3,40.652359,-108.9269
87.4,40.6518097,-108.92774
87.5,40.6512604,-108.92867
87.6,40.6507301,-108.92963
87.7,40.6502113,-108.93059
87.8,40.6496201,-108.93147
87.9,40.6490707,-108.93242
88,40.6482315,-108.93271
88.1,40.6473312,-108.93275
88.2,40.646431,-108.93268
88.3,40.6455307,-108.93274
