Colorado River km downstream of Lee's Ferry in Glen Canyon
River_km,Latitude,Longitude
58.2,36.4549408,-111.83553
58.3,36.4540405,-111.83551
58.4,36.4532013,-111.83591
58.5,36.4525719,-111.83667
58.6,36.4518089,-111.83718
58.7,36.4509583,-111.83756
58.8,36.4501801,-111.83812
58.9,36.4495087,-111.83886
59,36.4490814,-111.83984
59.1,36.4487305,-111.84086
59.2,36.4484215,-111.84191
59.3,36.4480782,-111.84294
59.4,36.4477386,-111.84398
59.5,36.4473801,-111.845
59.6,36.4469719,-111.84599
59.7,36.4464912,-111.84694
59.8,36.445961,-111.84783
59.9,36.4453506,-111.84866
60,36.4445992,-111.84927
60.1,36.4437485,-111.8496
60.2,36.4428596,-111.84971
60.3,36.4419594,-111.84971
60.4,36.4410591,-111.84971
60.5,36.4401588,-111.84976
60.6,36.4393692,-111.85027
60.7,36.4384689,-111.85035
60.8,36.4375801,-111.85052
60.9,36.4367104,-111.85077
61,36.4358482,-111.85112
61.1,36.4351006,-111.85173
61.2,36.4346085,-111.85264
61.3,36.434269,-111.85367
61.4,36.4341202,-111.85477
61.5,36.4341393,-111.85589
61.6,36.4341507,-111.857
61.7,36.4341698,-111.85812
61.8,36.4341087,-111.85923
61.9,36.434021,-111.86034
62,36.4339218,-111.86145
62.1,36.4338188,-111.86256
62.2,36.4336586,-111.86365
62.3,36.4334106,-111.86472
62.4,36.4331093,-111.86577
62.5,36.4327316,-111.86678
62.6,36.4322395,-111.86772
62.7,36.4317207,-111.86862
62.8,36.4310684,-111.86939
62.9,36.4303093,-111.87
63,36.4295006,-111.87048
63.1,36.4286499,-111.87084
63.2,36.4277802,-111.8711
63.3,36.4268799,-111.8712
63.4,36.4260216,-111.87151
63.5,36.4251289,-111.87161
63.6,36.4242287,-111.87152
63.7,36.4233398,-111.87135
63.8,36.422451,-111.87119
63.9,36.4215813,-111.87089
64,36.4207191,-111.87058
64.1,36.4198494,-111.87027
64.2,36.4189987,-111.86989
64.3,36.4181709,-111.86946
64.4,36.4173393,-111.86904
64.5,36.4165001,-111.86862
64.6,36.4156303,-111.86837
64.7,36.4147301,-111.86824
64.8,36.4138298,-111.86813
64.9,36.4129295,-111.86814
65,36.4120712,-111.86838
65.1,36.4112816,-111.86893
65.2,36.4104996,-111.86948
65.3,36.409771,-111.87014
65.4,36.4090805,-111.87085
65.5,36.4085197,-111.87172
65.6,36.4080009,-111.87263
65.7,36.4075203,-111.87357
65.8,36.4070816,-111.87454
65.9,36.40662,-111.8755
66,36.4060783,-111.87639
66.1,36.4055099,-111.87726
66.2,36.4048882,-111.87807
66.3,36.4040985,-111.87856
66.4,36.4033203,-111.87907
66.5,36.402729,-111.87991
66.6,36.4020882,-111.8807
66.7,36.4015694,-111.88161
66.8,36.4009094,-111.88233
66.9,36.4000511,-111.88258
67,36.3991508,-111.88258
67.1,36.3982506,-111.88253
67.2,36.3973503,-111.88245
67.3,36.3964615,-111.88229
67.4,36.3956184,-111.88191
67.5,36.3948898,-111.88126
67.6,36.3942108,-111.88053
67.7,36.3937683,-111.87956
67.8,36.3932915,-111.87862
67.9,36.3928719,-111.87763
68,36.3925514,-111.8766
68.1,36.3923492,-111.87552
68.2,36.3922882,-111.8744
68.3,36.3923111,-111.87329
68.4,36.3924103,-111.87219
68.5,36.3926315,-111.87111
68.6,36.3928719,-111.87003
68.7,36.3931808,-111.86898
68.8,36.3935089,-111.86794
68.9,36.3939018,-111.86694
69,36.3942909,-111.86594
69.1,36.3946686,-111.86493
69.2,36.3950615,-111.86392
69.3,36.3954391,-111.86291
69.4,36.3958282,-111.86191
69.5,36.3962212,-111.8609
69.6,36.3965302,-111.85985
69.7,36.3967896,-111.85879
69.8,36.3969383,-111.85769
69.9,36.3969688,-111.85658
70,36.3967896,-111.8555
70.1,36.3965797,-111.85441
70.2,36.3964882,-111.8533
70.3,36.3964005,-111.8522
