River kilometer measured from Lees Ferry (using NHD division) going upstream towards Glen Canyon Dam,,
River_km,Latitude,Longitude
-48.8,37.0020103,-111.37672
-48.9,37.0019798,-111.37559
-49,37.0020294,-111.37447
-49.1,37.002079,-111.37335
-49.2,37.002121,-111.37222
-49.3,37.00214,-111.3711
-49.4,37.0021706,-111.36998
-49.5,37.0022087,-111.36886
-49.6,37.0024109,-111.36776
-49.7,37.002739,-111.36672
-49.8,37.0031013,-111.36569
-49.9,37.0034599,-111.36466
-50,37.0039482,-111.36372
-50.1,37.0044899,-111.36282
-50.2,37.0050201,-111.36191
-50.3,37.0055504,-111.361
-50.4,37.0060005,-111.36003
-50.5,37.0064011,-111.35903
-50.6,37.0067902,-111.35801
-50.7,37.0070381,-111.35693
-50.8,37.0072899,-111.35585
-50.9,37.0075493,-111.35478
-51,37.0078011,-111.3537
-51.1,37.008049,-111.35262
-51.2,37.0080795,-111.3515
-51.3,37.0080795,-111.35037
-51.4,37.008091,-111.34925
-51.5,37.00811,-111.34813
-51.6,37.0082016,-111.34701
-51.7,37.0084305,-111.34593
-51.8,37.00877,-111.34489
-51.9,37.0091095,-111.34385
-52,37.0096512,-111.34295
-52.1,37.010231,-111.34209
-52.2,37.0108604,-111.34129
-52.3,37.0114784,-111.34048
-52.4,37.0121803,-111.33977
-52.5,37.0128899,-111.33907
-52.6,37.0135994,-111.33839
-52.7,37.0143585,-111.33778
-52.8,37.0151215,-111.33717
-52.9,37.0158806,-111.33656
-53,37.0166283,-111.33595
-53.1,37.0173912,-111.33534
-53.2,37.0181503,-111.33473
-53.3,37.0188217,-111.334
-53.4,37.0193901,-111.33313
-53.5,37.0199509,-111.33225
-53.6,37.0203514,-111.33127
-53.7,37.0205612,-111.33018
-53.8,37.0207787,-111.32909
-53.9,37.0209885,-111.328
-54,37.0212097,-111.3269
-54.1,37.0209694,-111.32597
-54.2,37.0202293,-111.32535
-54.3,37.019619,-111.32453
-54.4,37.0193291,-111.32348
-54.5,37.0190506,-111.32241
-54.6,37.0183411,-111.32171
-54.7,37.0176392,-111.32101
-54.8,37.0169296,-111.32031
-54.9,37.0162315,-111.31961
-55,37.0155296,-111.3189
-55.1,37.0148201,-111.3182
-55.2,37.0141106,-111.3175
-55.3,37.0134201,-111.31679
-55.4,37.0127487,-111.31604
-55.5,37.0121117,-111.31526
